,constructorResultsId,raceId,constructorId,points,status
0,1,18,1,14.0,\N
1,2,18,2,8.0,\N
2,3,18,3,9.0,\N
3,4,18,4,5.0,\N
4,5,18,5,2.0,\N
5,6,18,6,1.0,\N
6,7,18,7,0.0,\N
7,8,18,8,0.0,\N
8,9,18,9,0.0,\N
9,10,18,10,0.0,\N
10,11,18,11,0.0,\N
11,12,19,6,10.0,\N
12,13,19,2,11.0,\N
13,14,19,1,10.0,\N
14,15,19,7,5.0,\N
15,16,19,9,2.0,\N
16,17,19,4,1.0,\N
17,18,19,11,0.0,\N
18,19,19,10,0.0,\N
19,20,19,3,0.0,\N
20,21,19,8,0.0,\N
21,22,19,5,0.0,\N
22,23,20,6,18.0,\N
23,24,20,2,11.0,\N
24,25,20,1,4.0,\N
25,26,20,7,3.0,\N
26,27,20,9,2.0,\N
27,28,20,3,1.0,\N
28,29,20,4,0.0,\N
29,30,20,11,0.0,\N
30,31,20,10,0.0,\N
31,32,20,5,0.0,\N
32,33,20,8,0.0,\N
33,34,21,6,18.0,\N
34,35,21,1,6.0,\N
35,36,21,2,5.0,\N
36,37,21,9,4.0,\N
37,38,21,11,3.0,\N
38,39,21,3,2.0,\N
39,40,21,7,1.0,\N
40,41,21,10,0.0,\N
41,42,21,8,0.0,\N
42,43,21,4,0.0,\N
43,44,21,5,0.0,\N
44,45,22,6,16.0,\N
45,46,22,1,8.0,\N
46,47,22,2,9.0,\N
47,48,22,4,3.0,\N
48,49,22,9,2.0,\N
49,50,22,3,1.0,\N
50,51,22,7,0.0,\N
51,52,22,11,0.0,\N
52,53,22,10,0.0,\N
53,54,22,5,0.0,\N
54,55,23,1,11.0,\N
55,56,23,2,8.0,\N
56,57,23,6,6.0,\N
57,58,23,9,5.0,\N
58,59,23,5,4.0,\N
59,60,23,11,3.0,\N
60,61,23,3,2.0,\N
61,62,23,4,0.0,\N
62,63,23,7,0.0,\N
63,64,23,10,0.0,\N
64,65,24,2,18.0,\N
65,66,24,9,6.0,\N
66,67,24,7,8.0,\N
67,68,24,6,4.0,\N
68,69,24,11,2.0,\N
69,70,24,5,1.0,\N
70,71,24,1,0.0,\N
71,72,24,3,0.0,\N
72,73,24,10,0.0,\N
73,74,24,4,0.0,\N
74,75,25,6,18.0,\N
75,76,25,7,6.0,\N
76,77,25,1,5.0,\N
77,78,25,2,4.0,\N
78,79,25,9,3.0,\N
79,80,25,4,3.0,\N
80,81,25,5,0.0,\N
81,82,25,11,0.0,\N
82,83,25,3,0.0,\N
83,84,25,10,0.0,\N
84,85,26,1,14.0,\N
85,86,26,2,8.0,\N
86,87,26,11,6.0,\N
87,88,26,6,5.0,\N
88,89,26,4,3.0,\N
89,90,26,7,2.0,\N
90,91,26,3,1.0,\N
91,92,26,9,0.0,\N
92,93,26,5,0.0,\N
93,94,26,10,0.0,\N
94,95,27,1,14.0,\N
95,96,27,4,8.0,\N
96,97,27,6,9.0,\N
97,98,27,2,7.0,\N
98,99,27,5,1.0,\N
99,100,27,7,0.0,\N
100,101,27,3,0.0,\N
101,102,27,9,0.0,\N
102,103,27,10,0.0,\N
103,104,27,11,0.0,\N
104,105,28,1,14.0,\N
105,106,28,7,10.0,\N
106,107,28,6,6.0,\N
107,108,28,4,8.0,\N
108,109,28,2,1.0,\N
109,110,28,9,0.0,\N
110,111,28,11,0.0,\N
111,112,28,3,0.0,\N
112,113,28,10,0.0,\N
113,114,28,5,0.0,\N
114,115,29,6,10.0,\N
115,116,29,1,13.0,\N
116,117,29,2,6.0,\N
117,118,29,7,6.0,\N
118,119,29,5,3.0,\N
119,120,29,3,1.0,\N
120,121,29,4,0.0,\N
121,122,29,9,0.0,\N
122,123,29,11,0.0,\N
123,124,29,10,0.0,\N
124,125,30,6,10.0,\N
125,126,30,2,11.0,\N
126,127,30,1,6.0,\N
127,128,30,4,5.0,\N
128,129,30,5,6.0,\N
129,130,30,9,1.0,\N
130,131,30,7,0.0,\N
131,132,30,3,0.0,\N
132,133,30,10,0.0,\N
133,134,30,11,0.0,\N
134,135,31,5,10.0,\N
135,136,31,1,10.0,\N
136,137,31,2,10.0,\N
137,138,31,4,5.0,\N
138,139,31,6,3.0,\N
139,140,31,9,1.0,\N
140,141,31,7,0.0,\N
141,142,31,3,0.0,\N
142,143,31,11,0.0,\N
143,144,31,10,0.0,\N
144,145,32,4,10.0,\N
145,146,32,3,9.0,\N
146,147,32,1,6.0,\N
147,148,32,7,5.0,\N
148,149,32,5,4.0,\N
149,150,32,2,3.0,\N
150,151,32,9,2.0,\N
151,152,32,11,0.0,\N
152,153,32,6,0.0,\N
153,154,32,10,0.0,\N
154,155,33,4,15.0,\N
155,156,33,2,8.0,\N
156,157,33,6,8.0,\N
157,158,33,7,4.0,\N
158,159,33,5,3.0,\N
159,160,33,9,1.0,\N
160,161,33,3,0.0,\N
161,162,33,1,0.0,\N
162,163,33,11,0.0,\N
163,164,33,10,0.0,\N
164,165,34,1,10.0,\N
165,166,34,6,14.0,\N
166,167,34,4,6.0,\N
167,168,34,2,7.0,\N
168,169,34,7,2.0,\N
169,170,34,5,0.0,\N
170,171,34,9,0.0,\N
171,172,34,11,0.0,\N
172,173,34,3,0.0,\N
173,174,34,10,0.0,\N
174,175,35,6,16.0,\N
175,176,35,4,8.0,\N
176,177,35,5,5.0,\N
177,178,35,1,6.0,\N
178,179,35,7,4.0,\N
179,180,35,9,0.0,\N
180,181,35,2,0.0,\N
181,182,35,3,0.0,\N
182,183,35,11,0.0,\N
183,184,35,10,0.0,\N
184,185,36,6,13.0,\N
185,186,36,1,14.0,D
186,187,36,2,5.0,\N
187,188,36,4,4.0,\N
188,189,36,3,2.0,\N
189,190,36,7,1.0,\N
190,191,36,11,0.0,\N
191,192,36,8,0.0,\N
192,193,36,9,0.0,\N
193,194,36,5,0.0,\N
194,195,36,12,0.0,\N
195,196,37,1,18.0,D
196,197,37,6,10.0,\N
197,198,37,2,5.0,\N
198,199,37,4,4.0,\N
199,200,37,7,2.0,\N
200,201,37,3,0.0,\N
201,202,37,9,0.0,\N
202,203,37,11,0.0,\N
203,204,37,8,0.0,\N
204,205,37,5,0.0,\N
205,206,37,12,0.0,\N
206,207,38,6,16.0,\N
207,208,38,1,12.0,D
208,209,38,2,8.0,\N
209,210,38,7,2.0,\N
210,211,38,4,1.0,\N
211,212,38,3,0.0,\N
212,213,38,11,0.0,\N
213,214,38,12,0.0,\N
214,215,38,8,0.0,\N
215,216,38,9,0.0,\N
216,217,38,5,0.0,\N
217,218,39,6,10.0,\N
218,219,39,1,14.0,D
219,220,39,2,5.0,\N
220,221,39,9,4.0,\N
221,222,39,3,3.0,\N
222,223,39,4,2.0,\N
223,224,39,8,1.0,\N
224,225,39,11,0.0,\N
225,226,39,12,0.0,\N
226,227,39,7,0.0,\N
227,228,39,5,0.0,\N
228,229,40,1,18.0,D
229,230,40,6,7.0,\N
230,231,40,4,5.0,\N
231,232,40,2,7.0,\N
232,233,40,3,2.0,\N
233,234,40,5,0.0,\N
234,235,40,11,0.0,\N
235,236,40,9,0.0,\N
236,237,40,7,0.0,\N
237,238,40,8,0.0,\N
238,239,40,12,0.0,\N
239,240,41,1,12.0,D
240,241,41,2,8.0,\N
241,242,41,3,6.0,\N
242,243,41,4,5.0,\N
243,244,41,6,4.0,\N
244,245,41,8,3.0,\N
245,246,41,7,1.0,\N
246,247,41,9,0.0,\N
247,248,41,11,0.0,\N
248,249,41,5,0.0,\N
249,250,41,12,0.0,\N
250,251,42,1,18.0,D
251,252,42,6,11.0,\N
252,253,42,4,4.0,\N
253,254,42,7,3.0,\N
254,255,42,9,2.0,\N
255,256,42,2,1.0,\N
256,257,42,3,0.0,\N
257,258,42,8,0.0,\N
258,259,42,11,0.0,\N
259,260,42,5,0.0,\N
260,261,42,12,0.0,\N
261,262,43,6,18.0,\N
262,263,43,1,8.0,D
263,264,43,2,9.0,\N
264,265,43,4,3.0,\N
